version,file,source_pdf,output_file,body_font_size_pt,annotated_lines,plain_lines,output_tokens,page_count,status,error,processed_at
v010,202541_ISEN_302_505_57826_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_302_505_57826.pdf"", ""202541_ISEN_302_505_57826.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_302_505_57826_v010.md"", ""202541_ISEN_302_505_57826_v010.md"")",11.0,60,255,5016,11,ok,,2026-03-11T01:23:38.276883
v010,202541_CSCE_111_506_46759_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_506_46759.pdf"", ""202541_CSCE_111_506_46759.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_506_46759_v010.md"", ""202541_CSCE_111_506_46759_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:44.251700
v010,202541_ISEN_340_502_39510_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_340_502_39510.pdf"", ""202541_ISEN_340_502_39510.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_340_502_39510_v010.md"", ""202541_ISEN_340_502_39510_v010.md"")",11.0,31,314,4257,12,ok,,2026-03-11T01:23:46.245762
v010,202541_ISEN_440_500_51374_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_440_500_51374.pdf"", ""202541_ISEN_440_500_51374.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_440_500_51374_v010.md"", ""202541_ISEN_440_500_51374_v010.md"")",11.0,141,262,4888,13,ok,,2026-03-11T01:23:49.752114
v010,202541_CSCE_111_507_46760_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_507_46760.pdf"", ""202541_CSCE_111_507_46760.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_111_507_46760_v010.md"", ""202541_CSCE_111_507_46760_v010.md"")",11.0,144,269,5358,15,ok,,2026-03-11T01:23:52.803318
v010,202541_ISEN_441_501_59132_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_441_501_59132.pdf"", ""202541_ISEN_441_501_59132.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_441_501_59132_v010.md"", ""202541_ISEN_441_501_59132_v010.md"")",11.0,29,473,5919,15,ok,,2026-03-11T01:23:54.229456
v010,202541_ISEN_460_901_29592_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_460_901_29592.pdf"", ""202541_ISEN_460_901_29592.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_460_901_29592_v010.md"", ""202541_ISEN_460_901_29592_v010.md"")",11.0,135,366,5947,15,ok,,2026-03-11T01:24:00.165657
v010,202541_CSCE_221_550_53957_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_221_550_53957.pdf"", ""202541_CSCE_221_550_53957.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_221_550_53957_v010.md"", ""202541_CSCE_221_550_53957_v010.md"")",11.0,57,434,5209,15,ok,,2026-03-11T01:24:02.190711
v010,202541_ISEN_460_902_54116_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_460_902_54116.pdf"", ""202541_ISEN_460_902_54116.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_ISEN_460_902_54116_v010.md"", ""202541_ISEN_460_902_54116_v010.md"")",11.0,133,360,5907,15,ok,,2026-03-11T01:24:10.852159
v010,202541_CSCE_222_501_21939_v010.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_222_501_21939.pdf"", ""202541_CSCE_222_501_21939.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step1_markdown/202541_CSCE_222_501_21939_v010.md"", ""202541_CSCE_222_501_21939_v010.md"")",11.0,33,363,5099,13,ok,,2026-03-11T01:24:11.039562
